no,title,game,intro_id,loop_id,intro_sec,loop_sec,total_sec
405,Hangar Rules (Normal) / TEKKEN 8,TEKKEN 8,305472060,1008702737,24,89,113
406,Hangar Rules (Climax) / TEKKEN 8,TEKKEN 8,245863822,309283,21,123,144
407,STORM RISING (Normal) / TEKKEN 8,TEKKEN 8,71215077,348614119,3,119,122
408,STORM RISING (Climax) / TEKKEN 8,TEKKEN 8,1004249255,219555995,8,117,125
409,Deep Space (Normal) / TEKKEN 8,TEKKEN 8,54137037,178244361,11,67,78
410,Deep Space (Bridge) / TEKKEN 8,TEKKEN 8,616158557,517149262,1,49,50
411,Deep Space (Climax) / TEKKEN 8,TEKKEN 8,223730825,29436182,7,60,67
412,Kakuri-yo Kagura (Normal) / TEKKEN 8,TEKKEN 8,828897545,542941589,3,99,102
413,Kakuri-yo Kagura (Climax) / TEKKEN 8,TEKKEN 8,963171636,259939850,6,85,91
414,Volcanic Bomb (Normal) / TEKKEN 8,TEKKEN 8,662728428,862688236,25,105,130
415,Volcanic Bomb (Climax) / TEKKEN 8,TEKKEN 8,494993857,28819533,14,99,113
416,Golden Meadow (Normal) / TEKKEN 8,TEKKEN 8,142156539,895598728,16,105,121
417,Golden Meadow (Climax) / TEKKEN 8,TEKKEN 8,689849944,72126496,22,65,87
418,Twilight Party Cruise (Normal) / TEKKEN 8,TEKKEN 8,96885972,892732590,26,137,163
419,Twilight Party Cruise (Climax) / TEKKEN 8,TEKKEN 8,629670432,753506029,14,63,77
420,Silently Boisterous (Normal) / TEKKEN 8,TEKKEN 8,463332154,1021966051,36,143,179
421,Silently Boisterous (Climax) / TEKKEN 8,TEKKEN 8,138851552,417318876,6,102,108
422,Baroque Attack (Normal) / TEKKEN 8,TEKKEN 8,873058879,691524868,7,84,91
423,Baroque Attack (Climax) / TEKKEN 8,TEKKEN 8,539072382,325038828,28,83,111
424,Delusional Reality (Normal) / TEKKEN 8,TEKKEN 8,720223967,1032945287,29,212,241
425,Delusional Reality (Climax) / TEKKEN 8,TEKKEN 8,2488718,119343774,29,109,138
426,Our Tekken Ball (Normal) / TEKKEN 8,TEKKEN 8,9442479,55071433,11,171,182
427,Our Tekken Ball (Climax) / TEKKEN 8,TEKKEN 8,336924693,693920308,7,218,225
428,Rude and Reckless / TEKKEN 8,TEKKEN 8,489770415,418545812,5,58,63
429,Liberation / TEKKEN 8,TEKKEN 8,789163454,339347501,18,131,149
430,Be Stylish / TEKKEN 8,TEKKEN 8,584911805,1030794062,13,149,162
431,Time Will Reveal / TEKKEN 8,TEKKEN 8,803536255,898515799,25,194,219
432,Streak of Blue (Normal) / TEKKEN 8,TEKKEN 8,659990067,890063639,32,98,130
433,Streak of Blue (Climax) / TEKKEN 8,TEKKEN 8,256704464,783248665,3,64,67
434,Ordeal (Normal) / TEKKEN 8,TEKKEN 8,306296209,646424174,32,78,110
435,Ordeal (Climax) / TEKKEN 8,TEKKEN 8,1014409037,122317862,5,81,86
436,Away / FINAL FANTASY XVI [Phoenix Gate (Normal)] / TEKKEN 8,TEKKEN 8,249995594,136422200,177,151,328
437,Find the Flame / FINAL FANTASY XVI [Phoenix Gate (Climax)] / TEKKEN 8,TEKKEN 8,135491981,200236604,2,102,104
438,PAC-SPARK (Normal) / TEKKEN 8,TEKKEN 8,233286073,377086005,15,123,138
439,PAC-SPARK (Climax) / TEKKEN 8,TEKKEN 8,692256679,692256679,8,68,76
,Ancient Powers (Normal) / TEKKEN 8,TEKKEN 8,966353609,145043262,16,99,115
,Ancient Powers (Climax) / TEKKEN 8,TEKKEN 8,194623152,893756099,4,81,85
440,Online Lobby Player Match / TEKKEN 8,TEKKEN 8,1043040585,70873001,44,109,153
441,Season 2 Character Select Music: Unstoppable Urge / TEKKEN 8,TEKKEN 8,616529386,220504371,4,75,79
